,78553816,Generate Yearly Report for Vendor,WI4,Open,2020-07-31
,78553855,Research Client Check Copy,WI2,Open,2019-03-18
,78553852,Research Client Check Copy,WI2,Open,2018-05-05
,78553850,Research Client Check Copy,WI2,Open,2018-03-19
,78553831,Process Vendor Invoice,WI3,Open,2018-06-14
,78553874,Verify Account Position,WI1,Open,2021-05-26
,78553801,Calculate Client Security Hash,WI5,Open,2019-10-18
,78553800,Calculate Client Security Hash,WI5,Open,2018-06-06
,78553844,Research Client Check Copy,WI2,Open,2021-12-24
,78553839,Research Client Check Copy,WI2,Open,2021-12-26
,78553857,Research Client Check Copy,WI2,Open,2021-01-27
,78553859,Research Client Check Copy,WI2,Open,2017-12-01
,78553790,Calculate Client Security Hash,WI5,Open,2017-02-21
,78553825,Process Vendor Invoice,WI3,Open,2018-10-28
,78553802,Generate Yearly Report for Vendor,WI4,Open,2018-01-28
,78553849,Research Client Check Copy,WI2,Open,2019-08-23
,78553805,Generate Yearly Report for Vendor,WI4,Open,2021-08-24
,78553840,Research Client Check Copy,WI2,Open,2017-02-25
,78553847,Research Client Check Copy,WI2,Open,2017-10-16
,78553811,Generate Yearly Report for Vendor,WI4,Open,2019-04-03
,78553878,Verify Account Position,WI1,Open,2021-10-09
,78553822,Process Vendor Invoice,WI3,Open,2017-09-07
,78553877,Verify Account Position,WI1,Open,2018-06-22
,78553817,Generate Yearly Report for Vendor,WI4,Open,2020-09-24
,78553803,Generate Yearly Report for Vendor,WI4,Open,2017-05-18
,78553851,Research Client Check Copy,WI2,Open,2020-05-26
,78553875,Verify Account Position,WI1,Open,2018-04-03
,78553796,Calculate Client Security Hash,WI5,Open,2019-02-08
,78553812,Generate Yearly Report for Vendor,WI4,Open,2018-07-10
,78553823,Process Vendor Invoice,WI3,Open,2017-02-05
,78553815,Generate Yearly Report for Vendor,WI4,Open,2021-11-15
,78553791,Calculate Client Security Hash,WI5,Open,2020-07-28
,78553882,Verify Account Position,WI1,Open,2020-09-22
,78553804,Generate Yearly Report for Vendor,WI4,Open,2018-12-13
,78553862,Verify Account Position,WI1,Open,2020-02-17
,78553830,Process Vendor Invoice,WI3,Open,2022-01-03
,78553795,Calculate Client Security Hash,WI5,Open,2021-01-10
,78553845,Research Client Check Copy,WI2,Open,2018-03-12
,78553883,Verify Account Position,WI1,Open,2018-08-07
,78553880,Verify Account Position,WI1,Open,2020-10-06
,78553826,Process Vendor Invoice,WI3,Open,2022-01-03
,78553806,Generate Yearly Report for Vendor,WI4,Open,2019-07-20
,78553841,Research Client Check Copy,WI2,Open,2018-12-12
